Sample,ID,Timestamp,Berlin,Paris,London,Barcelona,Madrid,Rome,Stockholm,Amsterdam,Prague,Budapest,Lisbon,Brussels,Vienna,StPetersburg,Krakow,Riga,Istanbul,Geneva,Athens,Dublin,Purpose1,Purpose2,Purpose3,Purpose4,Purpose5,Purpose_Other,With_Whom_1,With_Whom_2,With_Whom_3,With_Whom_4,With_Whom_5,Number_of_Trips,Avg_Budget,Pref_Prague,Pref_Geneva,Pref_Paris,Pref_Stockholm,Pref_Brussels,Pref_London,Pref_Vienna,Pref_Istanbul,Pref_StPetersburg,Pref_Barcelona,Pref_Budapest,Pref_Dublin,Pref_Amsterdam,Pref_Athens,Pref_Riga,Pref_Lisbon,Pref_Rome,Pref_Madrid,Pref_Berlin,Pref_Krakow,Prague_Att1,Prague_Att2,Prague_Att3,Prague_Att4,Prague_Att5,Prague_Att6,Prague_Att7,Prague_Att8,Prague_Att9,Prague_Att10,Prague_Att11,Prague_Att12,Prague_Att13,Prague_Att14,Prague_Att15,Prague_Att16,Prague_Att17,Prague_Att18,Prague_Att19,Prague_Att20,Geneva_Att1,Geneva_Att2,Geneva_Att3,Geneva_Att4,Geneva_Att5,Geneva_Att6,Geneva_Att7,Geneva_Att8,Geneva_Att9,Geneva_Att10,Geneva_Att11,Geneva_Att12,Geneva_Att13,Geneva_Att14,Geneva_Att15,Geneva_Att16,Geneva_Att17,Geneva_Att18,Geneva_Att19,Geneva_Att20,Paris_Att1,Paris_Att2,Paris_Att3,Paris_Att4,Paris_Att5,Paris_Att6,Paris_Att7,Paris_Att8,Paris_Att9,Paris_Att10,Paris_Att11,Paris_Att12,Paris_Att13,Paris_Att14,Paris_Att15,Paris_Att16,Paris_Att17,Paris_Att18,Paris_Att19,Paris_Att20,Stockholm_Att1,Stockholm_Att2,Stockholm_Att3,Stockholm_Att4,Stockholm_Att5,Stockholm_Att6,Stockholm_Att7,Stockholm_Att8,Stockholm_Att9,Stockholm_Att10,Stockholm_Att11,Stockholm_Att12,Stockholm_Att13,Stockholm_Att14,Stockholm_Att15,Stockholm_Att16,Stockholm_Att17,Stockholm_Att18,Stockholm_Att19,Stockholm_Att20,Brussels_Att1,Brussels_Att2,Brussels_Att3,Brussels_Att4,Brussels_Att5,Brussels_Att6,Brussels_Att7,Brussels_Att8,Brussels_Att9,Brussels_Att10,Brussels_Att11,Brussels_Att12,Brussels_Att13,Brussels_Att14,Brussels_Att15,Brussels_Att16,Brussels_Att17,Brussels_Att18,Brussels_Att19,Brussels_Att20,London_Att1,London_Att2,London_Att3,London_Att4,London_Att5,London_Att6,London_Att7,London_Att8,London_Att9,London_Att10,London_Att11,London_Att12,London_Att13,London_Att14,London_Att15,London_Att16,London_Att17,London_Att18,London_Att19,London_Att20,Vienna_Att1,Vienna_Att2,Vienna_Att3,Vienna_Att4,Vienna_Att5,Vienna_Att6,Vienna_Att7,Vienna_Att8,Vienna_Att9,Vienna_Att10,Vienna_Att11,Vienna_Att12,Vienna_Att13,Vienna_Att14,Vienna_Att15,Vienna_Att16,Vienna_Att17,Vienna_Att18,Vienna_Att19,Vienna_Att20,Istanbul_Att1,Istanbul_Att2,Istanbul_Att3,Istanbul_Att4,Istanbul_Att5,Istanbul_Att6,Istanbul_Att7,Istanbul_Att8,Istanbul_Att9,Istanbul_Att10,Istanbul_Att11,Istanbul_Att12,Istanbul_Att13,Istanbul_Att14,Istanbul_Att15,Istanbul_Att16,Istanbul_Att17,Istanbul_Att18,Istanbul_Att19,Istanbul_Att20,StPetersburg_Att1,StPetersburg_Att2,StPetersburg_Att3,StPetersburg_Att4,StPetersburg_Att5,StPetersburg_Att6,StPetersburg_Att7,StPetersburg_Att8,StPetersburg_Att9,StPetersburg_Att10,StPetersburg_Att11,StPetersburg_Att12,StPetersburg_Att13,StPetersburg_Att14,StPetersburg_Att15,StPetersburg_Att16,StPetersburg_Att17,StPetersburg_Att18,StPetersburg_Att19,StPetersburg_Att20,Barcelona_Att1,Barcelona_Att2,Barcelona_Att3,Barcelona_Att4,Barcelona_Att5,Barcelona_Att6,Barcelona_Att7,Barcelona_Att8,Barcelona_Att9,Barcelona_Att10,Barcelona_Att11,Barcelona_Att12,Barcelona_Att13,Barcelona_Att14,Barcelona_Att15,Barcelona_Att16,Barcelona_Att17,Barcelona_Att18,Barcelona_Att19,Barcelona_Att20,Budapest_Att1,Budapest_Att2,Budapest_Att3,Budapest_Att4,Budapest_Att5,Budapest_Att6,Budapest_Att7,Budapest_Att8,Budapest_Att9,Budapest_Att10,Budapest_Att11,Budapest_Att12,Budapest_Att13,Budapest_Att14,Budapest_Att15,Budapest_Att16,Budapest_Att17,Budapest_Att18,Budapest_Att19,Budapest_Att20,Dublin_Att1,Dublin_Att2,Dublin_Att3,Dublin_Att4,Dublin_Att5,Dublin_Att6,Dublin_Att7,Dublin_Att8,Dublin_Att9,Dublin_Att10,Dublin_Att11,Dublin_Att12,Dublin_Att13,Dublin_Att14,Dublin_Att15,Dublin_Att16,Dublin_Att17,Dublin_Att18,Dublin_Att19,Dublin_Att20,Amsterdam_Att1,Amsterdam_Att2,Amsterdam_Att3,Amsterdam_Att4,Amsterdam_Att5,Amsterdam_Att6,Amsterdam_Att7,Amsterdam_Att8,Amsterdam_Att9,Amsterdam_Att10,Amsterdam_Att11,Amsterdam_Att12,Amsterdam_Att13,Amsterdam_Att14,Amsterdam_Att15,Amsterdam_Att16,Amsterdam_Att17,Amsterdam_Att18,Amsterdam_Att19,Amsterdam_Att20,Athens_Att1,Athens_Att2,Athens_Att3,Athens_Att4,Athens_Att5,Athens_Att6,Athens_Att7,Athens_Att8,Athens_Att9,Athens_Att10,Athens_Att11,Athens_Att12,Athens_Att13,Athens_Att14,Athens_Att15,Athens_Att16,Athens_Att17,Athens_Att18,Athens_Att19,Athens_Att20,Riga_Att1,Riga_Att2,Riga_Att3,Riga_Att4,Riga_Att5,Riga_Att6,Riga_Att7,Riga_Att8,Riga_Att9,Riga_Att10,Riga_Att11,Riga_Att12,Riga_Att13,Riga_Att14,Riga_Att15,Riga_Att16,Riga_Att17,Riga_Att18,Riga_Att19,Riga_Att20,Lisbon_Att1,Lisbon_Att2,Lisbon_Att3,Lisbon_Att4,Lisbon_Att5,Lisbon_Att6,Lisbon_Att7,Lisbon_Att8,Lisbon_Att9,Lisbon_Att10,Lisbon_Att11,Lisbon_Att12,Lisbon_Att13,Lisbon_Att14,Lisbon_Att15,Lisbon_Att16,Lisbon_Att17,Lisbon_Att18,Lisbon_Att19,Lisbon_Att20,Rome_Att1,Rome_Att2,Rome_Att3,Rome_Att4,Rome_Att5,Rome_Att6,Rome_Att7,Rome_Att8,Rome_Att9,Rome_Att10,Rome_Att11,Rome_Att12,Rome_Att13,Rome_Att14,Rome_Att15,Rome_Att16,Rome_Att17,Rome_Att18,Rome_Att19,Rome_Att20,Madrid_Att1,Madrid_Att2,Madrid_Att3,Madrid_Att4,Madrid_Att5,Madrid_Att6,Madrid_Att7,Madrid_Att8,Madrid_Att9,Madrid_Att10,Madrid_Att11,Madrid_Att12,Madrid_Att13,Madrid_Att14,Madrid_Att15,Madrid_Att16,Madrid_Att17,Madrid_Att18,Madrid_Att19,Madrid_Att20,Berlin_Att1,Berlin_Att2,Berlin_Att3,Berlin_Att4,Berlin_Att5,Berlin_Att6,Berlin_Att7,Berlin_Att8,Berlin_Att9,Berlin_Att10,Berlin_Att11,Berlin_Att12,Berlin_Att13,Berlin_Att14,Berlin_Att15,Berlin_Att16,Berlin_Att17,Berlin_Att18,Berlin_Att19,Berlin_Att20,Krakow_Att1,Krakow_Att2,Krakow_Att3,Krakow_Att4,Krakow_Att5,Krakow_Att6,Krakow_Att7,Krakow_Att8,Krakow_Att9,Krakow_Att10,Krakow_Att11,Krakow_Att12,Krakow_Att13,Krakow_Att14,Krakow_Att15,Krakow_Att16,Krakow_Att17,Krakow_Att18,Krakow_Att19,Krakow_Att20,Age,Gender,Nationality,CurrentCity,Occupation,PartnershipStatus
1,11,12/23/2015 15:13,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,,0,1,1,0,0,4,2,2,2,4,4,2,4,,,,,,,,,,,,,,,3,1,1,2,2,3,3,2,2,2,2,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,4,4,3,5,5,2,1,3,1,4,5,5,4,2,4,2,5,5,5,4,5,4,5,2,3,2,4,5,2,5,2,5,1,5,3,1,5,5,5,5,5,2,2,5,5,4,1,5,1,5,5,5,5,2,2,4,1,4,2,4,5,2,1,3,3,5,1,3,2,2,3,3,5,5,2,2,5,5,2,5,5,5,4,2,4,5,4,5,4,4,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Female,Greek,Stockholm,Employed,in a relationship.
1,12,12/23/2015 16:03,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,,1,1,1,0,0,5,2,6,1,4,3,3,6,,,,,,,,,,,,,,,2,4,5,2,4,4,4,4,4,4,4,4,2,4,5,4,5,4,5,2,4,2,1,1,1,2,2,4,4,2,5,4,2,1,2,1,3,5,4,4,2,4,2,4,4,4,4,4,4,5,2,3,4,5,2,4,4,1,4,1,4,1,1,5,3,2,4,2,4,4,5,5,4,2,4,2,4,5,4,5,2,4,4,2,2,1,3,3,3,4,4,4,4,1,2,4,2,1,2,4,2,4,1,4,5,1,4,4,4,5,4,4,5,5,4,4,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Male,German,Berlin,Master student,single
1,13,12/23/2015 21:18,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,visiting sport events,1,0,1,0,0,1,2,7,5,5,3,4,7,,,,,,,,,,,,,,,4,5,3,4,2,4,5,3,5,4,4,3,3,2,4,1,4,4,5,3,3,4,1,4,3,4,4,2,4,4,5,3,2,2,4,2,3,5,4,3,5,4,4,3,4,4,4,3,4,3,4,4,4,4,4,2,5,2,4,4,4,5,4,2,2,3,5,4,3,4,4,2,3,1,3,1,3,4,3,5,4,4,3,4,4,3,4,3,4,4,4,4,2,2,4,2,4,4,4,5,4,5,2,4,4,4,4,2,4,5,4,4,4,3,4,3,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Male,Russian,St.Petersburg,Master student,in a relationship.
1,14,12/23/2015 21:58,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,,1,0,1,0,0,4,1,7,5,6,5,4,5,,,,,,,,,,,,,,,4,5,4,4,3,4,5,5,5,5,4,4,5,4,5,3,5,5,5,5,4,4,3,3,3,4,4,5,5,5,5,5,5,4,4,3,4,4,5,5,3,5,3,5,5,5,4,5,5,5,3,4,5,5,5,4,5,2,5,5,5,5,2,3,3,3,4,3,5,5,5,5,5,3,4,3,5,5,5,5,5,5,2,3,3,4,4,4,5,5,5,5,5,4,4,3,4,5,5,5,3,5,2,5,5,3,3,5,5,5,3,5,5,5,5,4,5,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Female,Russian,Kaliningrad,Employed,in a relationship.
1,15,12/24/2015 12:24,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,0,1,0,0,0,2,2,6,1,5,4,1,6,,,,,,,,,,,,,,,4,5,5,3,4,2,4,2,3,4,3,3,2,2,4,2,3,3,4,4,3,4,1,2,2,4,3,4,2,2,4,4,4,3,2,3,2,4,4,4,2,5,3,4,3,5,4,5,5,5,3,3,4,2,4,3,5,3,5,4,4,4,4,4,3,3,3,4,4,4,4,4,4,2,4,2,3,4,3,4,2,3,2,2,3,3,3,4,2,3,4,2,5,2,2,3,3,3,3,5,2,5,1,4,5,4,5,5,5,5,2,3,5,5,4,4,3,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Female,British,Cambridge,Bachelor student,single
1,16,12/24/2015 12:24,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,,1,1,1,0,1,3,1,7,7,7,7,5,7,,,,,,,,,,,,,,,5,5,5,5,4,5,5,3,4,3,3,4,4,5,3,2,5,4,5,5,4,4,2,2,1,4,4,3,5,3,5,5,5,2,2,1,5,5,5,5,2,5,1,5,3,5,5,5,5,5,2,4,5,5,5,4,5,1,5,1,5,5,2,2,2,5,3,3,3,3,5,5,5,2,3,2,3,5,5,5,4,4,3,3,3,4,3,3,3,3,4,4,4,4,3,3,4,1,4,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,Russian,Berlin,Bachelor student,in a relationship.
1,17,12/24/2015 14:43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,,1,1,0,0,0,1,1,7,3,5,1,1,4,,,,,,,,,,,,,,,4,4,2,3,4,5,5,3,5,5,4,3,3,2,3,2,4,4,5,4,3,3,3,3,3,4,3,2,3,4,4,4,2,3,2,2,5,4,3,3,2,5,4,5,5,5,3,5,4,4,1,4,5,5,5,4,4,2,5,1,4,3,3,3,3,4,4,3,3,4,3,4,5,4,3,4,3,5,4,5,4,5,5,4,3,3,4,4,2,3,1,4,4,3,3,4,3,4,4,3,3,5,5,5,4,4,5,4,5,5,4,3,3,4,3,4,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Female,Russian,Berlin,Bachelor student,in a relationship.
1,18,12/24/2015 14:44,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,,0,1,1,0,1,2,2,6,4,5,5,4,6,,,,,,,,,,,,,,,4,5,5,4,4,5,4,3,3,4,4,3,4,3,4,2,4,4,5,4,,,,,,,,,,,,,,,,,,,,,2,4,1,4,4,4,3,5,3,5,4,4,4,5,4,5,5,4,5,2,4,4,2,3,3,3,3,3,3,4,5,5,4,3,3,2,3,4,4,5,,,,,,,,,,,,,,,,,,,,,4,4,2,4,5,3,4,4,5,5,3,3,5,4,5,4,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Male,Spanish,Berlin,Employed,single
1,19,12/24/2015 16:21,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,1,0,0,1,4,1,1,3,1,4,4,3,,,,,,,,,,,,,,,3,5,4,5,4,2,3,4,4,4,3,3,4,5,4,3,5,3,5,2,3,4,1,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,4,5,4,5,3,5,5,4,4,5,5,,3,3,5,5,5,4,5,2,5,2,4,5,1,3,3,3,4,3,3,4,4,3,4,2,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,4,1,3,3,2,3,3,3,5,3,3,4,4,3,3,2,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Male,Japanese,Berlin,Bachelor student,single
1,20,12/24/2015 21:41,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,,0,1,1,0,1,4,1,5,4,5,7,3,7,,,,,,,,,,,,,,,4,5,5,3,3,5,3,3,5,5,2,4,3,3,4,2,5,5,5,3,3,3,1,4,4,3,3,4,4,4,3,3,4,3,4,3,5,5,5,5,2,5,1,5,5,5,5,5,5,5,1,4,5,5,5,5,5,2,5,2,5,5,1,4,4,3,3,3,4,4,5,5,4,3,4,2,3,5,5,5,4,5,2,3,3,4,3,4,4,4,5,3,5,2,4,2,4,5,5,5,4,5,1,5,5,5,5,5,5,5,2,5,5,5,5,5,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Female,Russian,Kassel,Master student,single
1,21,12/24/2015 22:04,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,,0,1,1,0,1,3,2,7,3,3,5,1,6,,,,,,,,,,,,,,,5,5,5,3,3,4,5,4,5,4,2,4,4,5,5,4,5,4,5,3,3,3,1,2,2,3,3,3,3,3,5,4,4,3,3,2,4,5,4,4,1,5,1,4,4,4,3,4,5,5,2,3,5,5,5,4,5,3,5,4,5,4,2,3,4,3,4,3,3,3,5,4,4,3,4,2,4,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,1,5,5,2,3,5,5,5,2,3,5,4,5,4,4,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Russian,Berlin,Master student,married.
1,22,12/24/2015 23:10,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,,1,0,0,0,0,3,4,6,2,5,3,3,5,,,,,,,,,,,,,,,3,5,4,4,3,4,4,3,3,3,3,3,2,4,4,3,4,4,5,3,3,2,1,2,2,3,4,2,3,3,5,4,5,2,2,2,2,5,2,4,3,5,3,4,5,3,2,3,5,5,1,4,2,4,4,4,4,3,4,3,5,3,2,4,2,4,4,2,3,4,5,4,4,2,4,2,2,4,2,5,3,3,2,3,4,4,3,2,4,3,2,3,4,2,3,4,2,2,3,4,3,5,2,4,5,4,2,4,5,5,3,4,4,4,4,4,4,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Male,Latvian,Riga,Employed,married.
1,23,12/25/2015 10:58,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,,0,1,0,0,0,3,1,6,2,3,3,2,7,,,,,,,,,,,,,,,4,5,4,3,3,3,5,2,4,4,3,3,4,5,4,4,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,1,2,4,5,4,4,4,1,4,3,3,3,2,3,3,3,3,3,3,4,4,4,3,3,4,3,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Russian,Berlin,Master student,in a relationship.
1,24,12/25/2015 14:16,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,5,2,7,5,6,6,2,7,,,,,,,,,,,,,,,5,5,5,3,3,5,5,3,4,4,3,4,3,5,4,3,4,4,4,3,2,4,2,3,3,2,4,3,3,3,4,4,4,3,3,2,4,4,4,4,3,5,2,5,5,3,4,5,5,5,2,4,4,4,4,4,5,2,5,3,4,4,2,4,3,3,4,3,4,5,4,4,4,4,5,3,4,4,5,5,3,5,3,4,4,2,4,4,4,4,1,2,3,4,3,3,2,2,3,3,3,5,2,5,5,2,4,5,5,5,4,4,5,5,5,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Female,Russian,Stockholm,PhD student,in a relationship.
1,25,12/26/2015 12:36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,,1,0,0,0,0,3,1,5,6,3,4,3,7,,,,,,,,,,,,,,,5,5,5,4,4,5,5,3,4,3,5,4,4,2,4,2,4,4,5,5,4,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,3,4,5,3,3,4,5,5,1,2,5,5,4,5,5,2,4,4,5,4,2,4,3,2,2,2,4,5,5,5,5,2,4,2,4,5,5,5,4,4,4,4,4,5,4,4,4,4,2,4,4,3,4,2,2,3,4,4,3,5,1,5,5,3,2,4,4,4,4,4,4,4,4,4,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Male,Russian,Sochi,Employed,married.
